City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
airai,TL,60.39,88,100,1.68,-8.9266,125.4092,1673721221
mataura,NZ,54.32,84,7,1.54,-46.1927,168.8643,1673721221
dikson,RU,-34.76,93,16,3.87,73.5069,80.5464,1673721221
luderitz,NA,68.58,67,0,23.17,-26.6481,15.1594,1673721221
mount gambier,AU,59.23,65,100,13.18,-37.8333,140.7667,1673721131
bambous virieux,MU,79.05,78,40,10.36,-20.3428,57.7575,1673721222
maragogi,BR,81.82,67,98,10.98,-9.0122,-35.2225,1673721222
portland,US,50.58,91,75,11.5,45.5234,-122.6762,1673721151
mangai,CD,71.83,83,100,3.18,-4.05,19.5333,1673721222
kavieng,PG,81.86,77,87,10.04,-2.5744,150.7967,1673721222
tiszasuly,HU,40.01,88,20,2.98,47.3833,20.4,1673721223
tuktoyaktuk,CA,-11.2,84,20,6.91,69.4541,-133.0374,1673721223
leningradskiy,RU,-23.73,100,82,3.29,69.3833,178.4167,1673721223
manokwari,ID,77.88,83,91,3.89,-0.8667,134.0833,1673721223
jamestown,US,25.02,91,100,9.22,42.097,-79.2353,1673721162
avarua,CK,75.25,73,100,3.44,-21.2078,-159.775,1673721224
albany,US,29.05,75,59,1.01,42.6001,-73.9662,1673721013
asahikawa,JP,16.93,85,100,4.9,43.7678,142.3703,1673721224
yozgat,TR,33.57,53,64,2.06,39.5833,35.3333,1673721225
ushuaia,AR,51.46,54,75,8.05,-54.8,-68.3,1673721225
borba,BR,73.36,98,100,1.32,-4.3878,-59.5939,1673721225
mastung,PK,28.89,39,0,4.52,29.7994,66.845,1673721225
tourlaville,FR,48.72,81,75,18.41,49.6383,-1.5664,1673721226
fairbanks,US,-12.91,76,0,0.0,64.8378,-147.7164,1673721226
punta arenas,CL,51.91,58,75,21.85,-53.15,-70.9167,1673721226
carnarvon,AU,75.58,79,5,21.74,-24.8667,113.6333,1673721227
marsh harbour,BS,61.09,58,77,32.44,26.5412,-77.0636,1673721227
sao joao da barra,BR,86.09,85,28,18.52,-21.6403,-41.0511,1673721227
shingu,JP,55.22,90,45,6.44,33.7333,135.9833,1673721228
sinnamary,GF,77.36,86,100,9.82,5.3833,-52.95,1673721228
langxiang,CN,-19.08,98,5,2.75,46.95,128.8833,1673721228
ponta do sol,PT,65.03,73,64,1.52,32.6667,-17.1,1673721228
araouane,ML,71.96,13,44,9.98,18.9048,-3.5265,1673721229
kapaa,US,66.18,72,0,10.36,22.0752,-159.319,1673721229
tiksi,RU,-32.8,95,100,2.82,71.6872,128.8694,1673721229
nhulunbuy,AU,79.41,94,100,6.91,-12.2333,136.7667,1673721229
vaini,TO,77.16,100,20,0.0,-21.2,-175.2,1673721230
hun,LY,55.04,65,12,7.78,29.1268,15.9477,1673721230
rikitea,PF,77.99,74,52,14.52,-23.1203,-134.9692,1673721230
ahipara,NZ,60.84,89,6,4.92,-35.1667,173.1667,1673721230
atakpame,TG,81.23,18,42,1.43,7.5333,1.1333,1673721231
chuy,UY,79.47,35,0,12.24,-33.6971,-53.4616,1673721231
quelimane,MZ,84.15,70,75,6.91,-17.8786,36.8883,1673721231
cape town,ZA,69.12,67,0,25.32,-33.9258,18.4232,1673721078
petropavlovsk-kamchatskiy,RU,16.39,67,75,24.61,53.0452,158.6483,1673721099
qaanaaq,GL,4.03,67,100,8.19,77.484,-69.3632,1673721232
bubaque,GW,78.08,61,10,12.68,11.2833,-15.8333,1673721232
olafsvik,IS,24.31,63,11,17.6,64.8945,-23.7142,1673721233
lahad datu,MY,74.44,93,52,2.84,5.0268,118.327,1673721233
bratsk,RU,1.89,96,100,5.35,56.1325,101.6142,1673721088
iqaluit,CA,-0.67,71,100,13.8,63.7506,-68.5145,1673721015
saint-philippe,RE,78.39,78,37,9.82,-21.3585,55.7679,1673721233
dongsheng,CN,3.54,42,0,15.32,39.8161,109.9776,1673721234
grand gaube,MU,79.2,69,99,5.01,-20.0064,57.6608,1673721234
arraial do cabo,BR,87.76,70,0,21.85,-22.9661,-42.0278,1673721234
cherskiy,RU,-33.52,97,100,1.45,68.75,161.3,1673721197
bredasdorp,ZA,67.39,70,76,8.66,-34.5322,20.0403,1673721235
bandarbeyla,SO,76.26,75,47,18.39,9.4942,50.8122,1673721235
esperance,AU,55.72,76,5,10.63,-33.8667,121.9,1673721235
mitsamiouli,KM,82.02,69,81,2.44,-11.3847,43.2844,1673721236
paulista,BR,84.06,68,94,11.77,-7.9408,-34.8731,1673721236
magalia,US,46.31,98,100,11.32,39.8121,-121.5783,1673721236
hobyo,SO,77.63,75,5,18.84,5.3505,48.5268,1673721236
atar,MR,78.85,14,0,11.5,20.5169,-13.0499,1673721236
taguatinga,BR,84.22,62,100,2.51,-12.3857,-46.5711,1673721101
victoria,HK,69.33,94,1,4.0,22.2855,114.1577,1673721237
tamandare,BR,81.93,67,95,10.56,-8.7597,-35.1047,1673721237
lompoc,US,58.78,95,100,12.66,34.6391,-120.4579,1673721120
port alfred,ZA,71.19,86,100,6.46,-33.5906,26.891,1673721238
tsumeb,NA,73.67,45,92,14.07,-19.2333,17.7167,1673721238
am timan,TD,79.14,17,14,3.44,11.0297,20.2827,1673721238
chokurdakh,RU,-32.93,98,100,3.33,70.6333,147.9167,1673721238
coromandel,BR,78.31,66,100,3.78,-18.4733,-47.2003,1673721010
xichang,CN,42.44,77,84,3.06,27.8964,102.2634,1673721239
asfi,MA,60.26,83,0,13.96,32.2994,-9.2372,1673721239
busselton,AU,56.07,69,2,13.42,-33.65,115.3333,1673721240
atuona,PF,77.59,77,32,10.45,-9.8,-139.0333,1673721240
eskil,TR,38.73,56,45,4.16,38.4017,33.4131,1673721240
muhos,FI,31.89,99,100,1.54,64.808,25.9931,1673721240
sao gabriel da cachoeira,BR,85.8,70,20,3.44,-0.1303,-67.0892,1673721241
butaritari,KI,79.66,81,87,13.51,3.0707,172.7902,1673721241
cayenne,GF,77.04,88,75,3.44,4.9333,-52.3333,1673721007
vestmannaeyjar,IS,23.99,80,20,5.75,63.4427,-20.2734,1673721242
hermanus,ZA,69.8,74,58,13.76,-34.4187,19.2345,1673721242
port blair,IN,73.44,78,20,0.0,11.6667,92.75,1673721242
mar del plata,AR,78.84,68,0,11.5,-38.0023,-57.5575,1673721243
zhengjiatun,CN,2.16,29,0,1.1,43.5064,123.5064,1673721243
cine,TR,51.21,89,100,1.28,37.6117,28.0614,1673721244
zapolyarnyy,RU,25.88,98,90,8.12,69.4154,30.8136,1673721244
karratha,AU,81.93,79,74,13.91,-20.7377,116.8463,1673721245
puerto ayora,EC,82.36,87,52,5.01,-0.7393,-90.3518,1673721080
khatanga,RU,-40.45,97,100,2.91,71.9667,102.5,1673721245
ribeira grande,PT,55.8,62,40,17.0,38.5167,-28.7,1673721245
norman wells,CA,-11.16,77,100,0.0,65.282,-126.8329,1673721246
creston,US,39.7,69,0,19.57,41.0586,-94.3614,1673721246
lavrentiya,RU,-6.18,90,72,10.4,65.5833,-171.0,1673721246
bilma,NE,65.07,24,87,8.75,18.6853,12.9164,1673721247
port hardy,CA,44.78,100,75,5.75,50.6996,-127.4199,1673721247
batouri,CM,78.94,22,5,2.13,4.4333,14.3667,1673721248
avila,ES,43.7,92,100,5.26,40.5833,-5.0,1673721248
payakumbuh,ID,69.4,97,100,3.15,-0.2202,100.6308,1673721249
keetmanshoop,NA,91.36,9,0,12.95,-26.5833,18.1333,1673721249
hobart,AU,67.26,81,7,6.91,-42.8794,147.3294,1673721250
port-gentil,GA,75.16,100,75,9.22,-0.7193,8.7815,1673721250
east london,ZA,72.54,88,100,3.44,-33.0153,27.9116,1673721250
port elizabeth,ZA,70.32,93,75,6.91,-33.918,25.5701,1673721251
oranjemund,NA,62.73,88,1,19.46,-28.55,16.4333,1673721251
torbay,CA,54.37,88,100,23.02,47.6666,-52.7314,1673721035
georgetown,MY,80.53,93,20,2.3,5.4112,100.3354,1673721083
kaitangata,NZ,53.74,89,13,1.77,-46.2817,169.8464,1673721252
fez,MA,52.05,66,0,1.14,34.0372,-4.9998,1673721252
castro,BR,72.57,86,89,5.12,-24.7911,-50.0119,1673721252
guerrero negro,MX,66.92,50,99,10.2,27.9769,-114.0611,1673721253
hilo,US,86.29,72,100,6.91,19.7297,-155.09,1673721253
katsuura,JP,56.52,85,95,21.83,35.1333,140.3,1673721254
sidi ali,DZ,53.71,66,0,2.24,36.0998,0.4206,1673721254
raudeberg,NO,32.67,73,100,11.99,61.9875,5.1352,1673721255
mpraeso,GH,78.08,27,1,3.44,6.5932,-0.7346,1673721255
pingshan,CN,66.9,90,11,6.4,22.9938,114.7131,1673721255
la suiza,CR,67.59,97,100,1.41,9.8524,-83.6133,1673721256
riverbank,US,54.99,93,100,18.41,37.736,-120.9355,1673721256
sao filipe,CV,75.61,64,1,7.63,14.8961,-24.4956,1673721256
broome,US,25.63,82,100,12.66,42.2506,-75.833,1673721257
grindavik,IS,21.67,63,0,6.91,63.8424,-22.4338,1673721257
barrow,US,-7.58,84,100,18.41,71.2906,-156.7887,1673721257
barcelos,PT,55.92,94,100,9.93,41.5388,-8.6151,1673721215
luanda,AO,80.6,74,40,9.22,-8.8368,13.2343,1673721258
cumberland,US,45.86,50,100,11.5,35.0502,-78.8664,1673721029
cruz alta,BR,81.54,41,97,4.52,-28.6386,-53.6064,1673721258
richards bay,ZA,76.59,84,1,9.08,-28.783,32.0377,1673721258
bereda,ES,55.15,89,100,12.71,43.2686,-7.5406,1673721259
tecoanapa,MX,82.54,62,0,9.89,16.5167,-98.75,1673721259
constitucion,CL,66.65,61,26,17.25,-35.3333,-72.4167,1673721259
pevek,RU,-23.62,99,10,2.37,69.7008,170.3133,1673721260
les cayes,HT,81.61,59,100,7.18,18.2,-73.75,1673721260
bongandanga,CD,82.42,37,100,2.77,1.5,21.05,1673721260
pindwara,IN,49.1,32,0,5.03,24.8,73.0667,1673721261
ambilobe,MG,73.98,94,100,1.92,-13.2,49.05,1673721261
high rock,BS,55.42,61,14,29.35,26.6208,-78.2833,1673721261
katherine,AU,77.32,88,100,3.44,-14.4667,132.2667,1673721262
ballina,AU,66.02,99,100,2.17,-28.8667,153.5667,1673721262
dudinka,RU,-43.4,94,65,3.2,69.4058,86.1778,1673721263
karabuk,TR,43.66,91,68,1.5,41.2049,32.6277,1673721263
hasaki,JP,52.21,79,100,23.8,35.7333,140.8333,1673721263
rio gallegos,AR,64.45,24,20,23.02,-51.6226,-69.2181,1673721264
vardo,NO,29.39,86,80,11.43,70.3705,31.1107,1673721264
vila velha,BR,84.15,77,20,18.41,-20.3297,-40.2925,1673721264
young,UY,94.53,12,0,3.33,-32.6833,-57.6333,1673721265
harper,LR,80.1,78,28,9.01,4.375,-7.7169,1673721265
gizo,SB,79.09,81,100,10.11,-8.103,156.8419,1673721266
samarai,PG,80.2,81,100,12.59,-10.6167,150.6667,1673721266
kahului,US,75.85,72,0,1.01,20.8947,-156.47,1673721174
longyearbyen,SJ,28.24,86,100,27.63,78.2186,15.6401,1673721266
tatarsk,RU,13.96,92,100,13.98,55.219,75.9828,1673721267
itarema,BR,85.05,62,78,17.98,-2.9248,-39.9167,1673721267
tasiilaq,GL,17.76,52,100,17.98,65.6145,-37.6368,1673721267
severo-kurilsk,RU,20.28,74,94,33.93,50.6789,156.125,1673721268
saldanha,ZA,66.25,79,19,26.11,-33.0117,17.9442,1673721268
nantucket,US,41.05,93,100,21.85,41.2835,-70.0995,1673721100
magadi,IN,62.76,46,98,5.37,12.9667,77.2333,1673721268
launceston,AU,63.34,90,40,8.05,-41.45,147.1667,1673721269
hong gai,VN,67.08,95,43,8.46,20.956,107.0946,1673721269
hithadhoo,MV,80.56,67,99,13.73,-0.6,73.0833,1673721269
mogadishu,SO,78.01,84,5,19.77,2.0371,45.3438,1673721269
hervey bay,AU,74.28,80,100,14.2,-25.2986,152.8535,1673721270
falam,MM,42.62,69,0,4.21,22.9167,93.6833,1673721270
namatanai,PG,78.64,84,72,4.47,-3.6667,152.4333,1673721271
rosendal,NO,37.74,80,100,10.45,59.9867,6.0135,1673721271
eloy,US,67.86,42,100,5.39,32.7559,-111.5548,1673721271
dovers,VC,85.59,78,87,13.8,12.8833,-61.1833,1673721271
bethel,US,34.02,69,100,13.8,41.3712,-73.414,1673721217
podporozhye,RU,33.6,95,100,11.56,60.9112,34.1706,1673721272
werda,BW,82.92,24,0,7.54,-25.2667,23.2833,1673721272
faanui,PF,76.39,86,100,11.32,-16.4833,-151.75,1673721272
casablanca,MA,59.34,77,20,6.91,33.5928,-7.6192,1673721273
yagodnoye,RU,-28.35,96,100,4.27,62.55,149.6667,1673721273
saskylakh,RU,-45.78,100,69,2.68,71.9167,114.0833,1673721273
chivilcoy,AR,97.66,8,0,2.84,-34.8957,-60.0167,1673721182
charters towers,AU,69.82,94,100,14.05,-20.1,146.2667,1673721274
pisco,PE,73.45,68,0,10.36,-13.7,-76.2167,1673721209
mahebourg,MU,79.09,78,40,10.36,-20.4081,57.7,1673721274
kanungu,UG,64.09,71,33,4.05,-0.9575,29.7897,1673721274
hovd,MN,-7.02,80,8,1.54,48.0056,91.6419,1673721274
zyryanka,RU,-26.27,96,100,9.06,65.75,150.85,1673721275
lasa,IT,36.48,75,100,2.66,46.6166,10.7002,1673721275
talnakh,RU,-37.66,86,3,3.42,69.4865,88.3972,1673721198
kutum,SD,62.44,22,21,7.02,14.2,24.6667,1673721275
bambanglipuro,ID,77.86,83,100,7.45,-7.95,110.2833,1673721275
bluff,NZ,54.14,82,2,3.94,-46.6,168.3333,1673721276
alofi,NU,71.49,100,32,1.14,-19.0595,-169.9187,1673721276
kodiak,US,38.71,93,100,5.75,57.79,-152.4072,1673721276
ostrovnoy,RU,32.68,89,100,18.88,68.0531,39.5131,1673721277
amuntai,ID,73.2,97,100,2.26,-2.4177,115.2494,1673721277
seoul,KR,37.0,96,100,6.91,37.5683,126.9778,1673721055
flinders,AU,67.17,83,12,4.0,-34.5833,150.8552,1673721277
nouakchott,MR,89.53,22,2,11.65,18.0858,-15.9785,1673721278
nassau,US,36.7,73,100,17.27,40.7507,-73.5829,1673721029
hofn,IS,18.9,69,0,19.62,64.2539,-15.2082,1673721278
tricase,IT,49.93,87,40,8.05,39.9304,18.3553,1673721278
beringovskiy,RU,-3.26,95,100,17.43,63.05,179.3167,1673721278
edson,CA,24.91,93,20,3.44,53.5835,-116.4356,1673721279
san patricio,US,69.66,39,0,11.18,28.017,-97.5169,1673721279
gunjur,GM,91.47,79,0,3.44,13.2019,-16.7339,1673721279
lagoa,PT,54.9,55,90,29.08,39.05,-27.9833,1673721279
muktsar,IN,43.03,37,0,6.82,30.4833,74.5167,1673721280
waddan,LY,57.31,61,53,8.14,29.1614,16.139,1673721280
landsmeer,NL,51.98,92,75,19.57,52.4308,4.9153,1673721280
malibu,US,57.07,96,100,6.93,34.005,-118.8101,1673721057
anton lizardo,MX,75.22,58,74,8.41,19.05,-95.9833,1673721281
fort nelson,CA,1.94,86,75,4.61,58.8053,-122.7002,1673721281
khor,RU,-30.14,98,5,3.96,47.8861,134.9464,1673721281
thompson,CA,-7.44,84,100,8.05,55.7435,-97.8558,1673721281
elmadag,TR,36.34,45,25,0.87,39.9208,33.2308,1673721282
egvekinot,RU,-6.61,82,93,19.98,66.3167,-179.1667,1673721282
acajutla,SV,87.84,44,8,3.69,13.5928,-89.8275,1673721283
caravelas,BR,82.56,65,0,10.4,-17.7125,-39.2481,1673721283
sept-iles,CA,14.05,52,75,9.22,50.2001,-66.3821,1673721018
gurupi,BR,83.37,73,100,2.73,-11.7292,-49.0686,1673721089
tura,IN,58.26,55,4,2.21,25.5198,90.2201,1673721283
morondava,MG,75.88,93,100,21.81,-20.2833,44.2833,1673721283
bengkulu,ID,75.13,88,100,3.62,-3.8004,102.2655,1673721284
vao,NC,76.57,76,18,18.12,-22.6667,167.4833,1673721284
xining,CN,6.13,88,95,1.32,36.6167,101.7667,1673721284
wawa,NG,82.04,21,100,5.06,9.9022,4.4192,1673721032
belyy yar,RU,21.09,78,0,17.9,53.6039,91.3903,1673721285
verkhnetulomskiy,RU,26.73,98,94,3.42,68.6073,31.7962,1673721285
black river,JM,84.97,46,4,12.21,18.0264,-77.8487,1673721285
leeuwarden,NL,52.0,93,100,19.57,53.2014,5.8086,1673721285
roswell,US,43.99,53,0,11.5,34.0232,-84.3616,1673721286
mehamn,NO,31.46,74,100,18.81,71.0357,27.8492,1673721286
pemangkat,ID,77.34,83,98,3.76,1.1667,108.9667,1673721286
dekar,BW,77.54,43,18,7.16,-21.5333,21.9333,1673721287
terney,RU,-1.52,74,25,10.42,45.0503,136.6092,1673721287
los llanos de aridane,ES,67.12,69,75,4.61,28.6585,-17.9182,1673721287
christchurch,NZ,62.33,79,75,8.05,-43.5333,172.6333,1673721288
naze,JP,65.32,91,84,13.6,28.3667,129.4833,1673721288
isla vista,US,58.24,90,100,10.36,34.4133,-119.861,1673721174
makubetsu,JP,16.7,61,100,10.25,45.3714,141.8211,1673721288
salalah,OM,77.09,69,75,6.91,17.0151,54.0924,1673721289
sambava,MG,76.95,81,93,6.46,-14.2667,50.1667,1673721289
lorengau,PG,81.37,78,100,9.98,-2.0226,147.2712,1673721289
little current,CA,21.42,59,0,3.98,45.9793,-81.9248,1673721289
solnechnyy,RU,-21.03,98,43,3.96,50.7214,136.6319,1673721290
suarez,CO,78.62,71,95,2.64,2.954,-76.6964,1673721290
nikolskoye,RU,35.49,95,100,12.8,59.7035,30.7861,1673721290
marawi,PH,67.73,96,100,0.78,7.9986,124.2928,1673721291
stephenville,US,61.25,28,0,11.5,32.2207,-98.2023,1673721037
upernavik,GL,5.09,65,100,5.64,72.7868,-56.1549,1673721291
ovalle,CL,85.14,31,0,11.21,-30.5983,-71.2003,1673721291
antibes,FR,54.88,81,0,11.5,43.5624,7.1278,1673721292
nanortalik,GL,23.38,85,100,19.01,60.1432,-45.2371,1673721292
praia,CV,79.34,57,0,17.27,14.9215,-23.5087,1673721292
bathsheba,BB,83.01,74,40,16.11,13.2167,-59.5167,1673721292
boa vista,BR,85.98,54,75,9.22,2.8197,-60.6733,1673721293
arlit,NE,69.93,17,100,12.5,18.7369,7.3853,1673721293
new norfolk,AU,66.92,89,29,6.22,-42.7826,147.0587,1673721293
presidente medici,BR,83.19,67,86,5.48,-11.1753,-61.9014,1673721294
matara,LK,73.99,91,71,3.42,5.9485,80.5353,1673721294
ruteng,ID,62.67,90,100,1.34,-8.6136,120.4721,1673721294
yellowknife,CA,-3.44,77,100,9.22,62.456,-114.3525,1673721295
novoagansk,RU,-6.74,98,30,6.02,61.9449,76.6625,1673721295
antalaha,MG,75.09,84,53,6.31,-14.9003,50.2788,1673721295
jacarei,BR,88.52,51,75,3.44,-23.3053,-45.9658,1673721295
sahuaripa,MX,79.75,16,90,2.95,29.05,-109.2333,1673721296
acapulco,MX,85.82,37,0,5.75,16.8634,-99.8901,1673721293
maniago,IT,46.8,86,0,5.75,46.1706,12.7078,1673721296
kazachinskoye,RU,10.62,94,100,8.19,57.6953,93.2761,1673721296
meridian,US,50.32,77,100,7.0,43.6121,-116.3915,1673721128
nagorsk,RU,21.04,93,100,11.92,59.3172,50.8078,1673721192
eureka,US,52.41,96,100,8.99,40.8021,-124.1637,1673721041
beloha,MG,76.3,75,0,18.32,-25.1667,45.05,1673721297
blackwater,AU,68.68,88,100,10.83,-23.5833,148.8833,1673721297
akdepe,TM,15.89,36,0,10.87,42.0551,59.3788,1673721297
palana,RU,7.27,89,100,5.82,59.1167,159.9667,1673721196
poros,GR,53.96,63,9,1.74,37.4994,23.4536,1673721298
mayor pablo lagerenza,PY,88.11,44,98,2.66,-19.9309,-60.7718,1673721298
san quintin,MX,63.57,56,94,7.72,30.4833,-115.95,1673721299
effingham,US,48.65,37,23,12.95,32.3669,-81.3332,1673721299
pahrump,US,54.25,58,100,15.99,36.2083,-115.9839,1673721035
esil,KZ,0.59,87,19,8.19,51.9556,66.4042,1673721300
capinopolis,BR,81.21,69,86,5.99,-18.6819,-49.5697,1673721300
thohoyandou,ZA,72.57,63,0,3.24,-22.9456,30.485,1673721210
sal rei,CV,75.4,73,20,17.27,16.1833,-22.9167,1673721300
geraldton,AU,66.61,82,0,8.05,-28.7667,114.6,1673721301
provideniya,RU,0.91,94,100,13.53,64.3833,-173.3,1673721301
bangkalan,ID,78.75,83,100,7.65,-7.0455,112.7351,1673721301
wellington,NZ,57.56,88,0,1.14,-41.2866,174.7756,1673721034
teahupoo,PF,76.96,79,100,10.56,-17.8333,-149.2667,1673721302
sovetskiy,RU,13.35,93,100,5.3,61.3614,63.5842,1673721302
marsa matruh,EG,57.4,77,40,6.91,31.3525,27.2453,1673721304
vila franca do campo,PT,55.81,72,98,22.39,37.7167,-25.4333,1673721304
lebu,CL,61.39,65,100,17.6,-37.6167,-73.65,1673721305
kailua,US,74.07,85,7,1.86,21.4022,-157.7394,1673721191
mount isa,AU,76.77,73,100,8.05,-20.7333,139.5,1673721305
